"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000215909.3","HAVANA","gene",NA,NA,"ENSG00000215909.3","processed_pseudogene","BRWD1P1","1","HGNC:51528","OTTHUMG00000007922.1"
"ENSG00000215910.7","HAVANA","gene",NA,NA,"ENSG00000215910.7","protein_coding","C1orf167","1","HGNC:25262","OTTHUMG00000002228.2"
"ENSG00000215912.12","HAVANA","gene",NA,NA,"ENSG00000215912.12","protein_coding","TTC34","2","HGNC:34297","OTTHUMG00000000539.10"
"ENSG00000215914.4","HAVANA","gene",NA,NA,"ENSG00000215914.4","unprocessed_pseudogene","MMP23A","2","HGNC:7170","OTTHUMG00000000585.6"
"ENSG00000215915.10","HAVANA","gene",NA,NA,"ENSG00000215915.10","protein_coding","ATAD3C","2","HGNC:32151","OTTHUMG00000000531.8"
"ENSG00000215930.1","ENSEMBL","gene",NA,NA,"ENSG00000215930.1","miRNA","MIR942","3","HGNC:33688",NA
"ENSG00000215938.3","ENSEMBL","gene",NA,NA,"ENSG00000215938.3","miRNA","MIR190B","3","HGNC:33656",NA
"ENSG00000215939.3","ENSEMBL","gene",NA,NA,"ENSG00000215939.3","miRNA","MIR873","3","HGNC:33663",NA
"ENSG00000215943.1","ENSEMBL","gene",NA,NA,"ENSG00000215943.1","miRNA","MIR892A","3","HGNC:33639",NA
"ENSG00000215952.1","ENSEMBL","gene",NA,NA,"ENSG00000215952.1","miRNA","MIR921","3","HGNC:33671",NA
"ENSG00000215957.1","ENSEMBL","gene",NA,NA,"ENSG00000215957.1","miRNA","MIR300","3","HGNC:33636",NA
"ENSG00000215961.1","ENSEMBL","gene",NA,NA,"ENSG00000215961.1","miRNA","MIR297","3","HGNC:33691",NA
"ENSG00000215966.1","ENSEMBL","gene",NA,NA,"ENSG00000215966.1","miRNA","MIR876","3","HGNC:33653",NA
"ENSG00000215973.1","ENSEMBL","gene",NA,NA,"ENSG00000215973.1","miRNA","MIR933","3","HGNC:33676",NA
"ENSG00000215991.1","ENSEMBL","gene",NA,NA,"ENSG00000215991.1","miRNA","MIR208B","3","HGNC:33669",NA
"ENSG00000216001.3","ENSEMBL","gene",NA,NA,"ENSG00000216001.3","miRNA","MIR450B","3","HGNC:33642",NA
"ENSG00000216005.1","ENSEMBL","gene",NA,NA,"ENSG00000216005.1","miRNA","MIR888","3","HGNC:33648",NA
"ENSG00000216009.3","ENSEMBL","gene",NA,NA,"ENSG00000216009.3","miRNA","MIR874","3","HGNC:33643",NA
"ENSG00000216031.1","ENSEMBL","gene",NA,NA,"ENSG00000216031.1","miRNA","MIR298","3","HGNC:33634",NA
"ENSG00000216035.1","ENSEMBL","gene",NA,NA,"ENSG00000216035.1","miRNA","MIR938","3","HGNC:33681",NA
"ENSG00000216056.1","ENSEMBL","gene",NA,NA,"ENSG00000216056.1","miRNA","MIR891A","3","HGNC:33635",NA
"ENSG00000216058.1","ENSEMBL","gene",NA,NA,"ENSG00000216058.1","miRNA","MIR944","3","HGNC:33690",NA
"ENSG00000216060.1","ENSEMBL","gene",NA,NA,"ENSG00000216060.1","miRNA","MIR934","3","HGNC:33677",NA
