"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000141965.5","HAVANA","gene",NA,NA,"ENSG00000141965.5","protein_coding","FEM1A","2","HGNC:16934","OTTHUMG00000182048.3"
"ENSG00000141968.8","HAVANA","gene",NA,NA,"ENSG00000141968.8","protein_coding","VAV1","2","HGNC:12657","OTTHUMG00000181965.3"
"ENSG00000141971.13","HAVANA","gene",NA,NA,"ENSG00000141971.13","protein_coding","MVB12A","1","HGNC:25153","OTTHUMG00000166252.6"
"ENSG00000141977.9","HAVANA","gene",NA,NA,"ENSG00000141977.9","protein_coding","CIB3","1","HGNC:24580","OTTHUMG00000182281.1"
"ENSG00000141979.4","HAVANA","gene",NA,NA,"ENSG00000141979.4","protein_coding","AC008764.1","1",NA,"OTTHUMG00000182419.1"
"ENSG00000141985.9","HAVANA","gene",NA,NA,"ENSG00000141985.9","protein_coding","SH3GL1","1","HGNC:10830","OTTHUMG00000181918.3"
"ENSG00000141994.16","HAVANA","gene",NA,NA,"ENSG00000141994.16","protein_coding","DUS3L","2","HGNC:26920","OTTHUMG00000162311.5"
"ENSG00000142002.17","HAVANA","gene",NA,NA,"ENSG00000142002.17","protein_coding","DPP9","1","HGNC:18648","OTTHUMG00000182040.8"
"ENSG00000142025.16","HAVANA","gene",NA,NA,"ENSG00000142025.16","protein_coding","DMRTC2","2","HGNC:13911","OTTHUMG00000182675.4"
"ENSG00000142039.4","HAVANA","gene",NA,NA,"ENSG00000142039.4","protein_coding","CCDC97","1","HGNC:28289","OTTHUMG00000182722.6"
"ENSG00000142046.15","HAVANA","gene",NA,NA,"ENSG00000142046.15","protein_coding","TMEM91","1","HGNC:32393","OTTHUMG00000168127.4"
"ENSG00000142065.14","HAVANA","gene",NA,NA,"ENSG00000142065.14","protein_coding","ZFP14","1","HGNC:29312","OTTHUMG00000180675.3"
"ENSG00000142082.15","HAVANA","gene",NA,NA,"ENSG00000142082.15","protein_coding","SIRT3","1","HGNC:14931","OTTHUMG00000119074.6"
"ENSG00000142089.16","HAVANA","gene",NA,NA,"ENSG00000142089.16","protein_coding","IFITM3","1","HGNC:5414","OTTHUMG00000165542.3"
"ENSG00000142102.16","HAVANA","gene",NA,NA,"ENSG00000142102.16","protein_coding","PGGHG","1","HGNC:26210","OTTHUMG00000153218.5"
"ENSG00000142149.9","HAVANA","gene",NA,NA,"ENSG00000142149.9","protein_coding","HUNK","2","HGNC:13326","OTTHUMG00000085019.4"
"ENSG00000142156.15","HAVANA","gene",NA,NA,"ENSG00000142156.15","protein_coding","COL6A1","2","HGNC:2211","OTTHUMG00000090440.2"
"ENSG00000142163.8","HAVANA","gene",NA,NA,"ENSG00000142163.8","unprocessed_pseudogene","OR1E3","2","HGNC:8191","OTTHUMG00000177823.2"
"ENSG00000142166.13","HAVANA","gene",NA,NA,"ENSG00000142166.13","protein_coding","IFNAR1","2","HGNC:5432","OTTHUMG00000065126.11"
"ENSG00000142168.15","HAVANA","gene",NA,NA,"ENSG00000142168.15","protein_coding","SOD1","2","HGNC:11179","OTTHUMG00000084878.2"
"ENSG00000142173.16","HAVANA","gene",NA,NA,"ENSG00000142173.16","protein_coding","COL6A2","2","HGNC:2212","OTTHUMG00000090489.8"
"ENSG00000142178.9","HAVANA","gene",NA,NA,"ENSG00000142178.9","protein_coding","SIK1","2","HGNC:11142","OTTHUMG00000086874.3"
"ENSG00000142182.9","HAVANA","gene",NA,NA,"ENSG00000142182.9","protein_coding","DNMT3L","2","HGNC:2980","OTTHUMG00000086914.7"
"ENSG00000142185.16","HAVANA","gene",NA,NA,"ENSG00000142185.16","protein_coding","TRPM2","1","HGNC:12339","OTTHUMG00000040840.5"
"ENSG00000142186.17","HAVANA","gene",NA,NA,"ENSG00000142186.17","protein_coding","SCYL1","2","HGNC:14372","OTTHUMG00000166325.6"
"ENSG00000142188.17","HAVANA","gene",NA,NA,"ENSG00000142188.17","protein_coding","TMEM50B","2","HGNC:1280","OTTHUMG00000065286.13"
"ENSG00000142192.21","HAVANA","gene",NA,NA,"ENSG00000142192.21","protein_coding","APP","1","HGNC:620","OTTHUMG00000078438.11"
"ENSG00000142197.12","HAVANA","gene",NA,NA,"ENSG00000142197.12","protein_coding","DOP1B","2","HGNC:1291","OTTHUMG00000086619.4"
"ENSG00000142207.7","HAVANA","gene",NA,NA,"ENSG00000142207.7","protein_coding","URB1","1","HGNC:17344","OTTHUMG00000064919.4"
"ENSG00000142208.17","HAVANA","gene",NA,NA,"ENSG00000142208.17","protein_coding","AKT1","1","HGNC:391","OTTHUMG00000170795.7"
"ENSG00000142224.17","HAVANA","gene",NA,NA,"ENSG00000142224.17","protein_coding","IL19","2","HGNC:5990","OTTHUMG00000036387.6"
"ENSG00000142227.11","HAVANA","gene",NA,NA,"ENSG00000142227.11","protein_coding","EMP3","1","HGNC:3335","OTTHUMG00000183196.3"
"ENSG00000142230.13","HAVANA","gene",NA,NA,"ENSG00000142230.13","protein_coding","SAE1","1","HGNC:30660","OTTHUMG00000183464.5"
"ENSG00000142233.14","HAVANA","gene",NA,NA,"ENSG00000142233.14","protein_coding","NTN5","1","HGNC:25208","OTTHUMG00000183321.2"
"ENSG00000142235.12","HAVANA","gene",NA,NA,"ENSG00000142235.12","protein_coding","LMTK3","2","HGNC:19295","OTTHUMG00000183312.5"
"ENSG00000142252.11","HAVANA","gene",NA,NA,"ENSG00000142252.11","protein_coding","GEMIN7","2","HGNC:20045","OTTHUMG00000181768.2"
"ENSG00000142273.13","HAVANA","gene",NA,NA,"ENSG00000142273.13","protein_coding","CBLC","2","HGNC:15961","OTTHUMG00000150715.5"
"ENSG00000142279.13","HAVANA","gene",NA,NA,"ENSG00000142279.13","protein_coding","WTIP","2","HGNC:20964","OTTHUMG00000182099.5"
"ENSG00000142303.14","HAVANA","gene",NA,NA,"ENSG00000142303.14","protein_coding","ADAMTS10","1","HGNC:13201","OTTHUMG00000182216.9"
"ENSG00000142319.18","HAVANA","gene",NA,NA,"ENSG00000142319.18","protein_coding","SLC6A3","2","HGNC:11049","OTTHUMG00000131016.7"
"ENSG00000142327.13","HAVANA","gene",NA,NA,"ENSG00000142327.13","protein_coding","RNPEPL1","1","HGNC:10079","OTTHUMG00000133357.8"
"ENSG00000142330.20","HAVANA","gene",NA,NA,"ENSG00000142330.20","protein_coding","CAPN10","1","HGNC:1477","OTTHUMG00000133358.5"
"ENSG00000142347.19","HAVANA","gene",NA,NA,"ENSG00000142347.19","protein_coding","MYO1F","2","HGNC:7600","OTTHUMG00000156005.7"
"ENSG00000142396.10","HAVANA","gene",NA,NA,"ENSG00000142396.10","protein_coding","ERVK3-1","2","HGNC:30466","OTTHUMG00000150367.8"
"ENSG00000142405.22","HAVANA","gene",NA,NA,"ENSG00000142405.22","protein_coding","NLRP12","2","HGNC:22938","OTTHUMG00000060776.4"
"ENSG00000142408.6","HAVANA","gene",NA,NA,"ENSG00000142408.6","protein_coding","CACNG8","2","HGNC:13628","OTTHUMG00000064908.3"
"ENSG00000142409.6","HAVANA","gene",NA,NA,"ENSG00000142409.6","protein_coding","ZNF787","2","HGNC:26998","OTTHUMG00000181760.6"
"ENSG00000142444.7","HAVANA","gene",NA,NA,"ENSG00000142444.7","protein_coding","TIMM29","2","HGNC:25152","OTTHUMG00000180700.2"
"ENSG00000142449.13","HAVANA","gene",NA,NA,"ENSG00000142449.13","protein_coding","FBN3","1","HGNC:18794","OTTHUMG00000182462.7"
"ENSG00000142453.12","HAVANA","gene",NA,NA,"ENSG00000142453.12","protein_coding","CARM1","2","HGNC:23393","OTTHUMG00000180699.3"
"ENSG00000142459.8","HAVANA","gene",NA,NA,"ENSG00000142459.8","protein_coding","EVI5L","2","HGNC:30464","OTTHUMG00000182454.3"
"ENSG00000142484.7","HAVANA","gene",NA,NA,"ENSG00000142484.7","protein_coding","TM4SF5","2","HGNC:11857","OTTHUMG00000090776.4"
"ENSG00000142494.13","HAVANA","gene",NA,NA,"ENSG00000142494.13","protein_coding","SLC47A1","1","HGNC:25588","OTTHUMG00000059466.6"
"ENSG00000142507.10","HAVANA","gene",NA,NA,"ENSG00000142507.10","protein_coding","PSMB6","2","HGNC:9543","OTTHUMG00000090777.4"
"ENSG00000142511.4","HAVANA","gene",NA,NA,"ENSG00000142511.4","protein_coding","GPR32","2","HGNC:4487","OTTHUMG00000183079.1"
"ENSG00000142512.15","HAVANA","gene",NA,NA,"ENSG00000142512.15","protein_coding","SIGLEC10","1","HGNC:15620","OTTHUMG00000165521.5"
"ENSG00000142513.6","HAVANA","gene",NA,NA,"ENSG00000142513.6","protein_coding","ACP4","2","HGNC:14376","OTTHUMG00000182961.2"
"ENSG00000142515.15","HAVANA","gene",NA,NA,"ENSG00000142515.15","protein_coding","KLK3","2","HGNC:6364","OTTHUMG00000182867.7"
"ENSG00000142528.16","HAVANA","gene",NA,NA,"ENSG00000142528.16","protein_coding","ZNF473","1","HGNC:23239","OTTHUMG00000183054.4"
"ENSG00000142530.11","HAVANA","gene",NA,NA,"ENSG00000142530.11","protein_coding","FAM71E1","2","HGNC:25107","OTTHUMG00000183041.4"
"ENSG00000142534.7","HAVANA","gene",NA,NA,"ENSG00000142534.7","protein_coding","RPS11","2","HGNC:10384","OTTHUMG00000183156.4"
"ENSG00000142538.2","HAVANA","gene",NA,NA,"ENSG00000142538.2","protein_coding","PTH2","2","HGNC:30828","OTTHUMG00000183165.2"
"ENSG00000142539.9","HAVANA","gene",NA,NA,"ENSG00000142539.9","protein_coding","AC020909.1","2",NA,"OTTHUMG00000183038.1"
"ENSG00000142541.18","HAVANA","gene",NA,NA,"ENSG00000142541.18","protein_coding","RPL13A","2","HGNC:10304","OTTHUMG00000134289.5"
"ENSG00000142544.7","HAVANA","gene",NA,NA,"ENSG00000142544.7","protein_coding","CTU1","2","HGNC:29590","OTTHUMG00000182910.2"
"ENSG00000142546.14","HAVANA","gene",NA,NA,"ENSG00000142546.14","protein_coding","NOSIP","2","HGNC:17946","OTTHUMG00000183169.4"
"ENSG00000142549.9","HAVANA","gene",NA,NA,"ENSG00000142549.9","protein_coding","IGLON5","2","HGNC:34550","OTTHUMG00000154422.1"
"ENSG00000142552.8","HAVANA","gene",NA,NA,"ENSG00000142552.8","protein_coding","RCN3","1","HGNC:21145","OTTHUMG00000183154.3"
"ENSG00000142556.19","HAVANA","gene",NA,NA,"ENSG00000142556.19","protein_coding","ZNF614","2","HGNC:24722","OTTHUMG00000182551.3"
"ENSG00000142583.18","HAVANA","gene",NA,NA,"ENSG00000142583.18","protein_coding","SLC2A5","2","HGNC:11010","OTTHUMG00000001771.4"
"ENSG00000142599.19","HAVANA","gene",NA,NA,"ENSG00000142599.19","protein_coding","RERE","1","HGNC:9965","OTTHUMG00000001765.9"
"ENSG00000142606.16","HAVANA","gene",NA,NA,"ENSG00000142606.16","protein_coding","MMEL1","2","HGNC:14668","OTTHUMG00000000846.5"
"ENSG00000142609.18","HAVANA","gene",NA,NA,"ENSG00000142609.18","protein_coding","CFAP74","1","HGNC:29368","OTTHUMG00000000945.17"
"ENSG00000142611.17","HAVANA","gene",NA,NA,"ENSG00000142611.17","protein_coding","PRDM16","1","HGNC:14000","OTTHUMG00000000581.10"
"ENSG00000142615.8","HAVANA","gene",NA,NA,"ENSG00000142615.8","protein_coding","CELA2A","2","HGNC:24609","OTTHUMG00000002258.2"
"ENSG00000142619.4","HAVANA","gene",NA,NA,"ENSG00000142619.4","protein_coding","PADI3","2","HGNC:18337","OTTHUMG00000002373.1"
"ENSG00000142621.19","HAVANA","gene",NA,NA,"ENSG00000142621.19","protein_coding","FHAD1","1","HGNC:29408","OTTHUMG00000002088.11"
"ENSG00000142623.11","HAVANA","gene",NA,NA,"ENSG00000142623.11","protein_coding","PADI1","2","HGNC:18367","OTTHUMG00000002294.5"
"ENSG00000142627.13","HAVANA","gene",NA,NA,"ENSG00000142627.13","protein_coding","EPHA2","2","HGNC:3386","OTTHUMG00000009527.3"
"ENSG00000142632.17","HAVANA","gene",NA,NA,"ENSG00000142632.17","protein_coding","ARHGEF19","2","HGNC:26604","OTTHUMG00000002219.5"
"ENSG00000142634.13","HAVANA","gene",NA,NA,"ENSG00000142634.13","protein_coding","EFHD2","2","HGNC:28670","OTTHUMG00000002254.2"
"ENSG00000142655.13","HAVANA","gene",NA,NA,"ENSG00000142655.13","protein_coding","PEX14","2","HGNC:8856","OTTHUMG00000001908.3"
"ENSG00000142657.21","HAVANA","gene",NA,NA,"ENSG00000142657.21","protein_coding","PGD","2","HGNC:8891","OTTHUMG00000001905.5"
"ENSG00000142661.19","HAVANA","gene",NA,NA,"ENSG00000142661.19","protein_coding","MYOM3","2","HGNC:26679","OTTHUMG00000002969.4"
"ENSG00000142669.15","HAVANA","gene",NA,NA,"ENSG00000142669.15","protein_coding","SH3BGRL3","2","HGNC:15568","OTTHUMG00000003381.3"
"ENSG00000142675.18","HAVANA","gene",NA,NA,"ENSG00000142675.18","protein_coding","CNKSR1","2","HGNC:19700","OTTHUMG00000007541.5"
"ENSG00000142676.14","HAVANA","gene",NA,NA,"ENSG00000142676.14","protein_coding","RPL11","2","HGNC:10301","OTTHUMG00000002926.8"
"ENSG00000142677.4","HAVANA","gene",NA,NA,"ENSG00000142677.4","protein_coding","IL22RA1","2","HGNC:13700","OTTHUMG00000003041.2"
"ENSG00000142684.9","HAVANA","gene",NA,NA,"ENSG00000142684.9","protein_coding","ZNF593","2","HGNC:30943","OTTHUMG00000007538.4"
"ENSG00000142686.8","HAVANA","gene",NA,NA,"ENSG00000142686.8","protein_coding","C1orf216","2","HGNC:26800","OTTHUMG00000004167.4"
"ENSG00000142687.18","HAVANA","gene",NA,NA,"ENSG00000142687.18","protein_coding","KIAA0319L","1","HGNC:30071","OTTHUMG00000004370.7"
"ENSG00000142694.6","HAVANA","gene",NA,NA,"ENSG00000142694.6","protein_coding","EVA1B","2","HGNC:25558","OTTHUMG00000007867.1"
"ENSG00000142698.15","HAVANA","gene",NA,NA,"ENSG00000142698.15","protein_coding","C1orf94","2","HGNC:28250","OTTHUMG00000004012.5"
"ENSG00000142700.12","HAVANA","gene",NA,NA,"ENSG00000142700.12","protein_coding","DMRTA2","2","HGNC:13908","OTTHUMG00000007884.4"
"ENSG00000142731.11","HAVANA","gene",NA,NA,"ENSG00000142731.11","protein_coding","PLK4","1","HGNC:11397","OTTHUMG00000133301.7"
"ENSG00000142733.17","HAVANA","gene",NA,NA,"ENSG00000142733.17","protein_coding","MAP3K6","2","HGNC:6858","OTTHUMG00000004631.11"
"ENSG00000142748.13","HAVANA","gene",NA,NA,"ENSG00000142748.13","protein_coding","FCN3","2","HGNC:3625","OTTHUMG00000005722.2"
"ENSG00000142751.15","HAVANA","gene",NA,NA,"ENSG00000142751.15","protein_coding","GPN2","2","HGNC:25513","OTTHUMG00000004227.5"
"ENSG00000142765.18","HAVANA","gene",NA,NA,"ENSG00000142765.18","protein_coding","SYTL1","2","HGNC:15584","OTTHUMG00000005770.11"
"ENSG00000142784.16","HAVANA","gene",NA,NA,"ENSG00000142784.16","protein_coding","WDTC1","2","HGNC:29175","OTTHUMG00000004273.8"
"ENSG00000142789.20","HAVANA","gene",NA,NA,"ENSG00000142789.20","protein_coding","CELA3A","2","HGNC:15944","OTTHUMG00000002755.4"
"ENSG00000142794.19","HAVANA","gene",NA,NA,"ENSG00000142794.19","protein_coding","NBPF3","2","HGNC:25076","OTTHUMG00000002944.7"
"ENSG00000142798.20","HAVANA","gene",NA,NA,"ENSG00000142798.20","protein_coding","HSPG2","2","HGNC:5273","OTTHUMG00000002674.11"
"ENSG00000142856.17","HAVANA","gene",NA,NA,"ENSG00000142856.17","protein_coding","ITGB3BP","2","HGNC:6157","OTTHUMG00000013364.12"
"ENSG00000142864.15","HAVANA","gene",NA,NA,"ENSG00000142864.15","protein_coding","SERBP1","2","HGNC:17860","OTTHUMG00000009372.3"
"ENSG00000142867.14","HAVANA","gene",NA,NA,"ENSG00000142867.14","protein_coding","BCL10","2","HGNC:989","OTTHUMG00000009965.5"
"ENSG00000142871.18","HAVANA","gene",NA,NA,"ENSG00000142871.18","protein_coding","CCN1","2","HGNC:2654","OTTHUMG00000010577.2"
"ENSG00000142875.19","HAVANA","gene",NA,NA,"ENSG00000142875.19","protein_coding","PRKACB","2","HGNC:9381","OTTHUMG00000009975.4"
"ENSG00000142892.15","HAVANA","gene",NA,NA,"ENSG00000142892.15","protein_coding","PIGK","2","HGNC:8965","OTTHUMG00000009686.3"
"ENSG00000142910.16","HAVANA","gene",NA,NA,"ENSG00000142910.16","protein_coding","TINAGL1","2","HGNC:19168","OTTHUMG00000003884.2"
"ENSG00000142920.17","HAVANA","gene",NA,NA,"ENSG00000142920.17","protein_coding","AZIN2","2","HGNC:29957","OTTHUMG00000004130.6"
"ENSG00000142937.12","HAVANA","gene",NA,NA,"ENSG00000142937.12","protein_coding","RPS8","2","HGNC:10441","OTTHUMG00000008494.2"
"ENSG00000142945.13","HAVANA","gene",NA,NA,"ENSG00000142945.13","protein_coding","KIF2C","2","HGNC:6393","OTTHUMG00000008416.7"
"ENSG00000142949.17","HAVANA","gene",NA,NA,"ENSG00000142949.17","protein_coding","PTPRF","2","HGNC:9670","OTTHUMG00000007501.6"
"ENSG00000142959.5","HAVANA","gene",NA,NA,"ENSG00000142959.5","protein_coding","BEST4","2","HGNC:17106","OTTHUMG00000008488.2"
"ENSG00000142961.15","HAVANA","gene",NA,NA,"ENSG00000142961.15","protein_coding","MOB3C","2","HGNC:29800","OTTHUMG00000007989.2"
"ENSG00000142973.14","HAVANA","gene",NA,NA,"ENSG00000142973.14","protein_coding","CYP4B1","1","HGNC:2644","OTTHUMG00000007984.9"
"ENSG00000143001.5","HAVANA","gene",NA,NA,"ENSG00000143001.5","protein_coding","TMEM61","2","HGNC:27296","OTTHUMG00000009991.2"
"ENSG00000143006.7","HAVANA","gene",NA,NA,"ENSG00000143006.7","protein_coding","DMRTB1","2","HGNC:13913","OTTHUMG00000008080.1"
"ENSG00000143013.13","HAVANA","gene",NA,NA,"ENSG00000143013.13","protein_coding","LMO4","2","HGNC:6644","OTTHUMG00000010248.3"
"ENSG00000143028.9","HAVANA","gene",NA,NA,"ENSG00000143028.9","protein_coding","SYPL2","2","HGNC:27638","OTTHUMG00000010969.2"
"ENSG00000143032.8","HAVANA","gene",NA,NA,"ENSG00000143032.8","protein_coding","BARHL2","2","HGNC:954","OTTHUMG00000010020.3"
"ENSG00000143033.18","HAVANA","gene",NA,NA,"ENSG00000143033.18","protein_coding","MTF2","2","HGNC:29535","OTTHUMG00000010161.8"
"ENSG00000143036.17","HAVANA","gene",NA,NA,"ENSG00000143036.17","protein_coding","SLC44A3","1","HGNC:28689","OTTHUMG00000010700.7"
"ENSG00000143061.18","HAVANA","gene",NA,NA,"ENSG00000143061.18","protein_coding","IGSF3","2","HGNC:5950","OTTHUMG00000022751.4"
"ENSG00000143067.5","HAVANA","gene",NA,NA,"ENSG00000143067.5","protein_coding","ZNF697","2","HGNC:32034","OTTHUMG00000012962.4"
"ENSG00000143079.15","HAVANA","gene",NA,NA,"ENSG00000143079.15","protein_coding","CTTNBP2NL","2","HGNC:25330","OTTHUMG00000011154.5"
"ENSG00000143093.15","HAVANA","gene",NA,NA,"ENSG00000143093.15","protein_coding","STRIP1","2","HGNC:25916","OTTHUMG00000170607.3"
"ENSG00000143105.7","HAVANA","gene",NA,NA,"ENSG00000143105.7","protein_coding","KCNA10","2","HGNC:6219","OTTHUMG00000022785.2"
"ENSG00000143106.13","HAVANA","gene",NA,NA,"ENSG00000143106.13","protein_coding","PSMA5","2","HGNC:9534","OTTHUMG00000012001.3"
"ENSG00000143107.10","HAVANA","gene",NA,NA,"ENSG00000143107.10","protein_coding","FNDC7","2","HGNC:26668","OTTHUMG00000011120.7"
"ENSG00000143110.12","HAVANA","gene",NA,NA,"ENSG00000143110.12","protein_coding","C1orf162","2","HGNC:28344","OTTHUMG00000011750.1"
"ENSG00000143119.14","HAVANA","gene",NA,NA,"ENSG00000143119.14","protein_coding","CD53","2","HGNC:1686","OTTHUMG00000048020.5"
"ENSG00000143125.6","HAVANA","gene",NA,NA,"ENSG00000143125.6","protein_coding","PROK1","2","HGNC:18454","OTTHUMG00000011569.3"
"ENSG00000143126.8","HAVANA","gene",NA,NA,"ENSG00000143126.8","protein_coding","CELSR2","2","HGNC:3231","OTTHUMG00000012003.2"
"ENSG00000143127.13","HAVANA","gene",NA,NA,"ENSG00000143127.13","protein_coding","ITGA10","2","HGNC:6135","OTTHUMG00000013751.4"
"ENSG00000143147.14","HAVANA","gene",NA,NA,"ENSG00000143147.14","protein_coding","GPR161","1","HGNC:23694","OTTHUMG00000034651.4"
"ENSG00000143149.12","HAVANA","gene",NA,NA,"ENSG00000143149.12","protein_coding","ALDH9A1","2","HGNC:412","OTTHUMG00000034677.2"
"ENSG00000143153.13","HAVANA","gene",NA,NA,"ENSG00000143153.13","protein_coding","ATP1B1","2","HGNC:804","OTTHUMG00000034590.4"
"ENSG00000143155.13","HAVANA","gene",NA,NA,"ENSG00000143155.13","protein_coding","TIPRL","2","HGNC:30231","OTTHUMG00000034646.3"
"ENSG00000143156.14","HAVANA","gene",NA,NA,"ENSG00000143156.14","protein_coding","NME7","2","HGNC:20461","OTTHUMG00000034586.5"
"ENSG00000143157.12","HAVANA","gene",NA,NA,"ENSG00000143157.12","protein_coding","POGK","2","HGNC:18800","OTTHUMG00000034325.2"
"ENSG00000143158.11","HAVANA","gene",NA,NA,"ENSG00000143158.11","protein_coding","MPC2","2","HGNC:24515","OTTHUMG00000034570.4"
"ENSG00000143162.9","HAVANA","gene",NA,NA,"ENSG00000143162.9","protein_coding","CREG1","2","HGNC:2351","OTTHUMG00000034682.4"
"ENSG00000143164.15","HAVANA","gene",NA,NA,"ENSG00000143164.15","protein_coding","DCAF6","2","HGNC:30002","OTTHUMG00000034572.6"
"ENSG00000143167.12","HAVANA","gene",NA,NA,"ENSG00000143167.12","protein_coding","GPA33","2","HGNC:4445","OTTHUMG00000034435.6"
"ENSG00000143171.13","HAVANA","gene",NA,NA,"ENSG00000143171.13","protein_coding","RXRG","2","HGNC:10479","OTTHUMG00000034626.5"
"ENSG00000143178.13","HAVANA","gene",NA,NA,"ENSG00000143178.13","protein_coding","TBX19","2","HGNC:11596","OTTHUMG00000034648.3"
"ENSG00000143179.16","HAVANA","gene",NA,NA,"ENSG00000143179.16","protein_coding","UCK2","2","HGNC:12562","OTTHUMG00000040117.4"
"ENSG00000143183.18","HAVANA","gene",NA,NA,"ENSG00000143183.18","protein_coding","TMCO1","1","HGNC:18188","OTTHUMG00000034672.4"
"ENSG00000143184.5","HAVANA","gene",NA,NA,"ENSG00000143184.5","protein_coding","XCL1","2","HGNC:10645","OTTHUMG00000034548.2"
"ENSG00000143185.4","HAVANA","gene",NA,NA,"ENSG00000143185.4","protein_coding","XCL2","2","HGNC:10646","OTTHUMG00000034549.2"
"ENSG00000143190.23","HAVANA","gene",NA,NA,"ENSG00000143190.23","protein_coding","POU2F1","1","HGNC:9212","OTTHUMG00000034436.12"
"ENSG00000143194.13","HAVANA","gene",NA,NA,"ENSG00000143194.13","protein_coding","MAEL","2","HGNC:25929","OTTHUMG00000034432.3"
"ENSG00000143195.13","HAVANA","gene",NA,NA,"ENSG00000143195.13","protein_coding","ILDR2","1","HGNC:18131","OTTHUMG00000034320.7"
"ENSG00000143196.5","HAVANA","gene",NA,NA,"ENSG00000143196.5","protein_coding","DPT","2","HGNC:3011","OTTHUMG00000034554.3"
"ENSG00000143198.13","HAVANA","gene",NA,NA,"ENSG00000143198.13","protein_coding","MGST3","2","HGNC:7064","OTTHUMG00000034627.7"
"ENSG00000143199.18","HAVANA","gene",NA,NA,"ENSG00000143199.18","protein_coding","ADCY10","2","HGNC:21285","OTTHUMG00000034573.6"
"ENSG00000143207.21","HAVANA","gene",NA,NA,"ENSG00000143207.21","protein_coding","COP1","2","HGNC:17440","OTTHUMG00000034986.7"
"ENSG00000143217.9","HAVANA","gene",NA,NA,"ENSG00000143217.9","protein_coding","NECTIN4","2","HGNC:19688","OTTHUMG00000031475.2"
"ENSG00000143222.12","HAVANA","gene",NA,NA,"ENSG00000143222.12","protein_coding","UFC1","2","HGNC:26941","OTTHUMG00000033155.2"
"ENSG00000143224.18","HAVANA","gene",NA,NA,"ENSG00000143224.18","protein_coding","PPOX","1","HGNC:9280","OTTHUMG00000034342.4"
"ENSG00000143226.15","HAVANA","gene",NA,NA,"ENSG00000143226.15","protein_coding","FCGR2A","2","HGNC:3616","OTTHUMG00000034469.9"
"ENSG00000143228.13","HAVANA","gene",NA,NA,"ENSG00000143228.13","protein_coding","NUF2","1","HGNC:14621","OTTHUMG00000034275.4"
"ENSG00000143248.13","HAVANA","gene",NA,NA,"ENSG00000143248.13","protein_coding","RGS5","1","HGNC:10001","OTTHUMG00000034441.6"
"ENSG00000143252.16","HAVANA","gene",NA,NA,"ENSG00000143252.16","protein_coding","SDHC","2","HGNC:10682","OTTHUMG00000034468.5"
"ENSG00000143256.5","HAVANA","gene",NA,NA,"ENSG00000143256.5","protein_coding","PFDN2","2","HGNC:8867","OTTHUMG00000031481.2"
"ENSG00000143257.12","HAVANA","gene",NA,NA,"ENSG00000143257.12","protein_coding","NR1I3","1","HGNC:7969","OTTHUMG00000034347.3"
"ENSG00000143258.16","HAVANA","gene",NA,NA,"ENSG00000143258.16","protein_coding","USP21","2","HGNC:12620","OTTHUMG00000033154.7"
"ENSG00000143278.5","HAVANA","gene",NA,NA,"ENSG00000143278.5","protein_coding","F13B","2","HGNC:3534","OTTHUMG00000036519.3"
"ENSG00000143294.15","HAVANA","gene",NA,NA,"ENSG00000143294.15","protein_coding","PRCC","1","HGNC:9343","OTTHUMG00000041294.5"
"ENSG00000143297.19","HAVANA","gene",NA,NA,"ENSG00000143297.19","protein_coding","FCRL5","2","HGNC:18508","OTTHUMG00000017481.2"
"ENSG00000143303.12","HAVANA","gene",NA,NA,"ENSG00000143303.12","protein_coding","RRNAD1","1","HGNC:24273","OTTHUMG00000041302.10"
"ENSG00000143314.12","HAVANA","gene",NA,NA,"ENSG00000143314.12","protein_coding","MRPL24","2","HGNC:14037","OTTHUMG00000041296.3"
"ENSG00000143315.8","HAVANA","gene",NA,NA,"ENSG00000143315.8","protein_coding","PIGM","2","HGNC:18858","OTTHUMG00000024081.4"
"ENSG00000143318.13","HAVANA","gene",NA,NA,"ENSG00000143318.13","protein_coding","CASQ1","2","HGNC:1512","OTTHUMG00000031607.5"
"ENSG00000143319.17","HAVANA","gene",NA,NA,"ENSG00000143319.17","protein_coding","ISG20L2","2","HGNC:25745","OTTHUMG00000041301.3"
"ENSG00000143320.9","HAVANA","gene",NA,NA,"ENSG00000143320.9","protein_coding","CRABP2","2","HGNC:2339","OTTHUMG00000041300.4"
"ENSG00000143321.19","HAVANA","gene",NA,NA,"ENSG00000143321.19","protein_coding","HDGF","2","HGNC:4856","OTTHUMG00000041295.2"
"ENSG00000143322.21","HAVANA","gene",NA,NA,"ENSG00000143322.21","protein_coding","ABL2","2","HGNC:77","OTTHUMG00000035199.11"
"ENSG00000143324.14","HAVANA","gene",NA,NA,"ENSG00000143324.14","protein_coding","XPR1","2","HGNC:12827","OTTHUMG00000035116.3"
"ENSG00000143333.7","HAVANA","gene",NA,NA,"ENSG00000143333.7","protein_coding","RGS16","2","HGNC:9997","OTTHUMG00000035212.2"
"ENSG00000143337.19","HAVANA","gene",NA,NA,"ENSG00000143337.19","protein_coding","TOR1AIP1","1","HGNC:29456","OTTHUMG00000035257.10"
"ENSG00000143340.6","HAVANA","gene",NA,NA,"ENSG00000143340.6","protein_coding","FAM163A","2","HGNC:28274","OTTHUMG00000035262.1"
